strategy,method,qid,query_style,question,first_relevant_rank,query_ms,retrieved_chars,retrieved_ids,hit@1,rr@1,hit@3,rr@3,hit@5,rr@5
fixed,semantic,q01,paraphrase,How many days of paid annual leave does a full-time employee receive?,1,14.1,423.4,leave-policy.md__fixed__0001|leave-policy.md__fixed__0002|leave-policy.md__fixed__0003|procurement-policy.md__fixed__0001|expense-reimbursement-policy.md__fixed__0006,1,1.0,1,1.0,1,1.0
fixed,semantic,q02,keyword,What is the carryover limit for unused annual leave days?,1,2.8,429.0,leave-policy.md__fixed__0002|travel-policy.md__fixed__0002|leave-policy.md__fixed__0003|leave-policy.md__fixed__0005|leave-policy.md__fixed__0001,1,1.0,1,1.0,1,1.0
fixed,semantic,q03,paraphrase,How much does the company reimburse per mile when I drive my own car?,1,2.3,390.4,travel-policy.md__fixed__0005|code-of-conduct.md__fixed__0005|remote-work-policy.md__fixed__0005|travel-policy.md__fixed__0001|procurement-policy.md__fixed__0004,1,1.0,1,1.0,1,1.0
fixed,semantic,q04,keyword,What is the submission deadline for expense claims after an expense is incurred?,1,4.0,377.2,expense-reimbursement-policy.md__fixed__0001|travel-policy.md__fixed__0005|travel-policy.md__fixed__0002|onboarding-guide.md__fixed__0005|expense-reimbursement-policy.md__fixed__0002,1,1.0,1,1.0,1,1.0
fixed,semantic,q05,paraphrase,How quickly must an employee report a suspected security incident to IT?,1,3.8,384.4,it-security-policy.md__fixed__0005|code-of-conduct.md__fixed__0003|it-security-policy.md__fixed__0000|code-of-conduct.md__fixed__0002|data-privacy-policy.md__fixed__0000,1,1.0,1,1.0,1,1.0
fixed,semantic,q06,keyword,What encryption standard is used to protect personal data at rest?,2,3.0,351.2,data-privacy-policy.md__fixed__0001|data-privacy-policy.md__fixed__0004|data-privacy-policy.md__fixed__0000|it-security-policy.md__fixed__0006|data-privacy-policy.md__fixed__0006,0,0.0,1,0.5,1,0.5
fixed,semantic,q07,paraphrase,How long does Northwind have to notify the supervisory authority after discovering a data breach?,1,2.0,374.6,data-privacy-policy.md__fixed__0005|data-privacy-policy.md__fixed__0001|it-security-policy.md__fixed__0006|data-privacy-policy.md__fixed__0002|data-privacy-policy.md__fixed__0003,1,1.0,1,1.0,1,1.0
fixed,semantic,q08,keyword,What is the annual home-office stipend amount for remote workers?,1,2.0,384.2,remote-work-policy.md__fixed__0004|leave-policy.md__fixed__0003|expense-reimbursement-policy.md__fixed__0006|benefits-policy.md__fixed__0001|expense-reimbursement-policy.md__fixed__0005,1,1.0,1,1.0,1,1.0
fixed,semantic,q09,paraphrase,After how many months of employment can someone start working from home?,,4.8,386.4,data-privacy-policy.md__fixed__0002|leave-policy.md__fixed__0004|benefits-policy.md__fixed__0002|onboarding-guide.md__fixed__0000|it-security-policy.md__fixed__0005,0,0.0,0,0.0,0,0.0
fixed,semantic,q10,keyword,What is the company-wide default anchor day for in-office attendance?,1,2.1,374.0,remote-work-policy.md__fixed__0002|data-privacy-policy.md__fixed__0008|data-privacy-policy.md__fixed__0005|data-privacy-policy.md__fixed__0003|onboarding-guide.md__fixed__0001,1,1.0,1,1.0,1,1.0
fixed,semantic,q11,keyword,What are the standard vendor payment terms in the procurement policy?,1,2.8,436.4,procurement-policy.md__fixed__0004|travel-policy.md__fixed__0007|travel-policy.md__fixed__0003|expense-reimbursement-policy.md__fixed__0004|travel-policy.md__fixed__0002,1,1.0,1,1.0,1,1.0
